Name,Latitude,Longitude,Image,Restaurant,Lake,Shopping
Flames Restaurant,30.62077298712324,32.29340890445067,https://media-cdn.tripadvisor.com/media/photo-s/10/4f/4d/5f/flames.jpg,true,false,false
Temsah Lake,30.575730380220115,32.287549869925854,https://upload.wikimedia.org/wikipedia/commons/7/74/Ismailia_and_Timsah_lake_-_panoramio.jpg,false,true,false
Al-Fairouz Beach Club,30.572742470687626,32.27833801125144,https://upload.wikimedia.org/wikipedia/commons/7/74/Ismailia_and_Timsah_lake_-_panoramio.jpg,true,true,false
Sala-al-Naby Restaurant,30.568954651554865,32.28074871397333,https://lh5.googleusercontent.com/p/AF1QipOSaEtqOvUpyxx7nHufekoywRerq8UkU3gKYg0J=w500-h240-k-no,true,false,false
Fish land , 30.57044394818246,32.2778962155231,https://lh5.googleusercontent.com/p/AF1QipPvpbD5Oq08HnCY9K1QO2wu4flQGhcYGyjMnFrJ=w408-h408-k-no,true,true,false
Haven Pizza,30.608511354468998, 32.27466349915819,https://lh5.googleusercontent.com/p/AF1QipPlMO2GXKZFcXp4FPP487sZkwhY5YvC5ml-IDn3=w408-h306-k-no,true,false,false
Dimuscus gate,30.597771392709085, 32.271932239644435,https://lh5.googleusercontent.com/p/AF1QipNCf2ekLkUZEa3uwFYqeOugigm-F8lkqjkaSVDf=w408-h680-k-no,true,false,false
Tarek Habib Grilled Food,30.586693795677213, 32.26312399023664,https://lh5.googleusercontent.com/p/AF1QipO0h9n-GHJCaTBkjdWbvutNw3jd3m5rv8mCWN_F=w408-h864-k-no,true,false,false
Dimashqy,30.61341216936083, 32.28320712870052,https://lh5.googleusercontent.com/p/AF1QipM0Xq00BlFYH_TiZZLPhQV-UgaNVKVZYjjbqk9v=w426-h240-k-no,true,false,false
Tito Pizza Restaurant,30.56560508079561, 32.28164538125417,https://lh5.googleusercontent.com/p/AF1QipMx7xs95Xm9LehzeZQr2D1b2IAZt5Ri9mQaJmSl=w427-h240-k-no,true,false,false
Labocca cafe and Restaurant,30.612405824321836, 32.30635470516549,https://lh5.googleusercontent.com/p/AF1QipMXf1ku5zU8a7m6WiPj4I832mDCHm5hbKXD18lx=w408-h306-k-no,true,false,false
TAMARA kids,30.594069194830563, 32.27794840453784,https://lh5.googleusercontent.com/p/AF1QipNRYNS-WREhN_Sa4C8qmDlG-Jd7O0DUP2-DGkdA=w408-h544-k-no,false,false,true
High City Mall,30.6053337402625, 32.28513381773866,https://lh5.googleusercontent.com/p/AF1QipOqtoGZrexCDLKqogs9S7cg8swFaFro4jVqEyoz=w408-h508-k-no,false,false,true
Ismailia City Mall,30.591481372615274, 32.27472684669903,https://lh5.googleusercontent.com/p/AF1QipP6uF_1uIbhKuMCDeb_qr6xrPlIjDg1_CZzwI59=w408-h725-k-no,false,false,true
Hassan Abo Ali For Seafood,30.58590292651228, 32.260543325930925,https://lh5.googleusercontent.com/p/AF1QipPKnJ5O673pTUbIsWy02biYSGgb6XjwcXcnTTRr=w408-h271-k-no,true,false,false
Lake View,30.575890473254976, 32.273804166823126,https://static.wixstatic.com/media/e32222_9c1d299732124c5fbe7daa15cce18f78~mv2.jpg/v1/fill/w_980,h_505,al_c,q_85,usm_0.66_1.00_0.01/Page-1-Image-1.webp,true,true,false


